n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
8,0,28260704,2,4,0.14810570003464818,5.68401649990119,0.026056521834027544,3.518568769678154e-10,3.518568769678154e-10,True,0.0,0.0,5,94,45
8,1,28260705,2,4,0.0911177999805659,1.0800925998482853,0.08436110014397351,3.6679515371673688e-06,3.6679515371673688e-06,True,0.0,0.0,14,1060,781
8,2,28260706,2,4,0.07260009995661676,0.7678054999560118,0.0945553267862448,1.021975978843237e-07,1.021975978843237e-07,True,0.0,7.949889435643342e-08,20,767,21
8,3,28260707,2,4,0.08740630000829697,0.2442836998961866,0.357806517771927,3.66855434918989e-10,3.66855434918989e-10,True,0.0,0.0,6,237,56
8,4,28260708,2,4,0.07219640002585948,0.5143134999088943,0.14037430485229024,1.9436691700569497e-09,1.9436691700569497e-09,True,0.0,0.0,10,545,142
8,5,28260709,2,4,0.0782835001591593,0.24900670000351965,0.3143831075953088,3.7591929569202875e-10,3.7591929569202875e-10,True,0.0,0.0,7,255,128
8,6,28260710,2,4,0.07186929997988045,0.2604423000011593,0.27595094951764954,1.944748334592461e-09,1.944748334592461e-09,True,0.0,0.0,7,266,261
8,7,28260711,2,4,0.06875100010074675,0.1653118000831455,0.4158868275958984,4.1372349990353996e-10,2.775490944394919e-10,True,0.0,0.0,5,152,59
8,8,28260712,2,4,0.08797220000997186,0.7393081998452544,0.11899259338444432,5.91883205780519e-08,5.91883205780519e-08,True,2.220446049250313e-16,9.390882627080543e-08,22,779,796
8,9,28260713,2,4,0.08433860004879534,0.492652399931103,0.17119291423443797,4.484029168527748e-07,4.484029168527748e-07,True,0.0,0.0,14,460,576
12,0,32260704,2,6,0.10904290014877915,0.3478519998025149,0.3134749842193973,5.0442024446262224e-08,5.0442024446262224e-08,True,1.1102230246251565e-16,0.0,7,324,429
12,1,32260705,2,6,0.09523979993537068,1.1394585999660194,0.08358337892944148,2.454507881388679e-07,2.0212974845913763e-07,True,2.220446049250313e-16,9.347510543378235e-10,21,759,1044
12,2,32260706,2,6,0.12010840000584722,0.24663099995814264,0.48699636309398087,2.648836705532176e-10,2.4449931671216764e-10,True,0.0,0.0,5,194,298
12,3,32260707,2,6,0.10658769984729588,0.4202183000743389,0.25364840091076457,3.947107918289561e-09,3.947107918289561e-09,True,0.0,0.0,7,375,212
12,4,32260708,2,6,0.09086369979195297,0.5568733001127839,0.1631676357504486,3.648285523683015e-08,3.648285523683015e-08,True,0.0,9.594159844361627e-08,24,515,41
12,5,32260709,2,6,0.16879520006477833,0.2810402000322938,0.6006087386978176,2.7578714867360077e-09,1.7877980640424641e-09,True,0.0,0.0,5,210,251
12,6,32260710,2,6,0.23700689990073442,0.8614495999645442,0.2751256717868222,4.6775169848523035e-09,4.6775169848523035e-09,True,2.220446049250313e-16,0.0,19,613,557
12,7,32260711,2,6,0.09974199999123812,0.2624929999001324,0.3799796567115533,1.258322335218054e-09,1.258322335218054e-09,True,0.0,0.0,6,244,371
12,8,32260712,2,6,0.0867851001676172,1.8677435999270529,0.046465210841041944,1.104303496701764e-07,1.104303496701764e-07,True,0.0,9.291915326059552e-08,44,1386,638
12,9,32260713,2,6,0.09322229982353747,0.24467489984817803,0.38100475316995064,9.346994289671784e-10,9.346994289671784e-10,True,0.0,0.0,5,239,475
20,0,40260704,2,8,0.11650060000829399,0.18293120013549924,0.6368547296579297,3.7648920092614446e-10,3.7648920092614446e-10,True,1.1102230246251565e-16,0.0,5,165,341
20,1,40260705,2,8,0.11288240016438067,0.32831169990822673,0.34382691873586835,3.8608653774030444e-10,3.8608653774030444e-10,True,0.0,0.0,5,258,1139
20,2,40260706,2,8,0.12163860001601279,0.38147409982047975,0.3188646360873659,7.878717123155354e-10,7.878717123155354e-10,True,0.0,0.0,11,321,1204
20,3,40260707,2,8,0.1159584999550134,0.6478977999649942,0.17897652988060558,3.928945169207054e-09,3.928945169207054e-09,True,1.1102230246251565e-16,0.0,17,622,724
20,4,40260708,2,8,0.13618929986841977,0.7648102999664843,0.17806938514607856,1.7700833132572313e-08,1.7700833132572313e-08,True,1.1102230246251565e-16,9.152167661230504e-08,25,720,651
20,5,40260709,2,8,0.13674110011197627,1.065225699916482,0.12836819476163344,1.026111373647609e-08,1.026111373647609e-08,True,2.220446049250313e-16,9.064679562520439e-08,27,910,1396
20,6,40260710,2,8,0.1284776001702994,0.5805450999177992,0.2213051151211006,5.979695627544857e-10,5.979695627544857e-10,True,0.0,0.0,14,490,1315
20,7,40260711,2,8,0.12416110001504421,0.39021040010266006,0.3181901353279636,6.390976636794221e-11,5.1853522246853654e-11,True,0.0,0.0,5,312,1092
20,8,40260712,2,8,0.13519910001195967,0.830904999980703,0.1627130658921291,1.556376028055695e-08,1.556376028055695e-08,True,2.220446049250313e-16,8.761680980740039e-08,33,630,1849
20,9,40260713,2,8,0.14330799994058907,1.2848463000264019,0.11153707640956298,4.7343984621583957e-08,4.7343984621583957e-08,True,0.0,6.562925891628879e-08,28,945,646
30,0,50260704,2,8,0.2040858999826014,0.38157489988952875,0.5348514801201208,1.56731927436482e-09,1.56731927436482e-09,True,2.220446049250313e-16,0.0,5,214,625
30,1,50260705,2,8,0.24621360003948212,0.4204698000103235,0.5855678577473031,1.2113612335440394e-09,1.2113612335440394e-09,True,1.1102230246251565e-16,0.0,5,252,1634
30,2,50260706,2,8,0.20595799991860986,0.9514451001305133,0.21646861168380374,9.787873900268806e-09,9.787873900268806e-09,True,2.220446049250313e-16,8.787418814826253e-08,16,572,1963
30,3,50260707,2,8,0.25053240009583533,0.3626950001344085,0.6907522849859865,1.79185205562149e-09,1.79185205562149e-09,True,0.0,0.0,5,254,1139
